post_num,date,title,claim,verasity,category,share,tags,url
post-174708,7 December 2018,Did President Trump Not Recite the Apostles’ Creed During President Bush’s Funeral?,President Trump did not recite the Apostles' Creed as other attendees did during George H.W. Bush's funeral. ,true,politicians politics ,,donald-trump ,https://www.snopes.com/fact-check/trump-funeral-apostles-creed/
post-174717,10 December 2018,Did Donald Trump Acknowledge the Threat of Climate Change to His Irish Golf Course?,"President Donald Trump, in applying for permission to build a wall at his golf course in Ireland, warned against the threat of coastal erosion caused by global warming.",mixture,politics ,,climate-change donald-trump global-warming ireland occupy-democrats ,https://www.snopes.com/fact-check/trump-climate-change-golf-course/
post-174776,10 December 2018,"Did JFK Say ‘There’s a Plot in This Country to Enslave Every Man, Woman, and Child’?","President John F. Kennedy said: ""There's a plot in this country to enslave every man, woman and child. Before I leave this high and noble office, I intend to expose this plot.""",false,politics political-quotes ,,john-f-kennedy ,https://www.snopes.com/fact-check/jfk-plot-in-this-country-to-enslave/
post-174787,7 December 2018,Did a Teacher High on Meth Strip Naked in Class and Bite Two Students?,A teacher was arrested after she stripped naked and bit two students while she was high on crystal meth. ,false,junk-news ,,world-news-daily-report ,https://www.snopes.com/fact-check/teacher-meth-bite-students/
post-174802,8 December 2018,Bogus ‘Now Hiring’ Meme Still Circulating on Social Media,A meme offers job line phone numbers for several major companies who are currently hiring.,mostly-false,inboxer-rebellion ,,,https://www.snopes.com/fact-check/phone-hiring-ad/
post-174825,8 December 2018,Was a Scientist Jailed After Discovering a Deadly Virus Delivered Through Vaccines?,Researcher Judy Mikovits was thrown in jail after she refused to discredit research that led to the discovery that deadly retroviruses have been transmitted through vaccines.,false,medical science ,,big-pharma vaccines ,https://www.snopes.com/fact-check/scientist-vaccine-jailed/
post-174890,10 December 2018,Did Trump Instruct Acting Secretary of State to Nullify Oaths Taken on Qurans?,President Trump instructed his acting secretary of state to nullify oaths taken on the Quran. ,false,junk-news ,,bebest-website the-last-line-of-defense ,https://www.snopes.com/fact-check/trump-nullify-quran-oaths/
post-174906,10 December 2018,Did President Trump Kiss Bob Dole on the Forehead?,A photograph shows President Trump kissing former senator Bob Dole on the forehead. ,true,photos ,,bob-dole donald-trump ,https://www.snopes.com/fact-check/trump-dole-kiss-photo/
post-174928,10 December 2018,Did Alexandria Ocasio-Cortez Say We Need to ‘Invent Technology That’s Never Been Invented’?,"Representative-elect Ocasio-Cortez said ""we need to invent technology that's never even been invented yet.""",correct-attribution,politics political-quotes ,,alexandria-ocasio-cortez ,https://www.snopes.com/fact-check/ocasio-cortez-technology-quote/
post-174954,10 December 2018,Is This a Photograph of Robert Mueller Meeting with Viktor Yanukovych?,A photograph shows former FBI director Robert Mueller meeting with former Ukrainian president Viktor Yanukovych in 2013.,true,photos ,,robert-mueller ,https://www.snopes.com/fact-check/mueller-yanukovych-photo/
post-174974,10 December 2018,Is This a Photograph of European Jews Protesting Deportation from the U.S. to Nazi Germany?,A photograph shows a couple protesting a Jewish man’s deportation from the U.S. back to Nazi Germany. ,true,photos ,,,https://www.snopes.com/fact-check/european-jews-protesting-deportation/
post-175055,10 December 2018,Did Illinois Lawmakers Propose a ‘Departing Taxpayer Fee’?,"Illinois governor-elect J.B. Pritzker and two other Democratic state legislators proposed a ""departing taxpayer fee.""",false,politicians politics ,,2018-midterms ,https://www.snopes.com/fact-check/illinois-departing-taxpayer-fee/
post-175057,11 December 2018,Did Miley Cyrus Tell Fans to Worship Satan If They Want to Be Rich and Famous?,Pop singer Miley Cyrus told a group of fans to worship Satan if they want to be rich and famous like their heroes.,false,junk-news ,,miley-cyrus neon-nettle ,https://www.snopes.com/fact-check/miley-cyrus-worship-satan/
post-175115,11 December 2018,Is This a Fossil of a Megalodon Tooth Embedded in a Whale Bone?,A photograph shows a genuine fossil of a megalodon tooth embedded in a whale bone. ,miscaptioned,photos ,,,https://www.snopes.com/fact-check/megalodon-tooth-whale-bone-fossil/
post-175117,11 December 2018,"Did 449,000 Californians Turn Down Jury Duty Because They Are Undocumented Immigrants?","449,000 California residents turned down jury duty because they are not U.S. citizens, despite being registered to vote.",unproven,immigration politics viral-phenomena ,,california drivers-licenses immigration ,https://www.snopes.com/fact-check/did-449000-californians-turn-down-jury-duty-because-they-are-undocumented-immigrants/
post-175135,12 December 2018,Did ALDI Offer Homeless People Free Food on Christmas Eve in 2018?,"In 2018, ALDI offered free food to homeless people at their stores after 4 PM on Christmas Eve. ",mixture,inboxer-rebellion ,,,https://www.snopes.com/fact-check/aldi-free-food-homeless-christmas/
post-175137,11 December 2018,Was a Teenager Electrocuted by His Earphones?,A Malaysian teenager was electrocuted by earphones he was using.,unproven,medical ,,,https://www.snopes.com/fact-check/electrocuted-by-earphones/
post-175188,11 December 2018,Did Researchers Discover a 512-Year-Old Shark?,Researchers discovered a living Greenland shark that was 512 years old. ,mostly-false,animals ,,sharks ,https://www.snopes.com/fact-check/512-year-old-shark/
post-175243,11 December 2018,Did the Trump Administration’s Policies Halt a Research Project Seeking an HIV Cure?,The Trump Administration’s policies have halted a research effort seeking a cure for HIV.,true,medical-politics politics ,,abortion fetal-tissue hiv ,https://www.snopes.com/fact-check/research-project-hiv-cure/
post-175256,11 December 2018,Did Theresa May Cancel the Next General Election Because She Doesn’t Think She’ll Win?,UK prime minister Theresa May canceled the next general election because she doesn't think she will win.,false,junk-news ,,news-thump theresa-may ,https://www.snopes.com/fact-check/theresa-may-cancels-next-general-election/
post-175339,12 December 2018,Did Jon Voight Urge Americans to ‘Fight for Donald Trump’?,"Jon Voight once said ""I pray all Americans who have seen and felt the meltdown of America with the Obama years, to please fight for Donald Trump""",true,politics political-quotes ,,2016-election donald-trump ,https://www.snopes.com/fact-check/jon-voight-donald-trump/
post-25704,20 November 2018,Walmart Thanksgiving/Black Friday Coupon Scams,Walmart stores are distributing free coupons via Facebook as part of Thanksgiving or Black Friday promotions.,false,fraud ,,coupon-scam facebook-coupons walmart ,https://www.snopes.com/fact-check/walmart-gift-card/
post-77513,30 November 2018,Former President George H.W. Bush Has Died,Former president George H.W. Bush has passed away at age 94.,true,politicians politics ,,george-h-w-bush ,https://www.snopes.com/fact-check/george-h-w-bush-obituary/
post-93587,7 June 2017,Did ‘The Simpsons’ Predict That President Trump Would Touch a Glowing Orb?,"""The Simpsons"" depicted that President Donald Trump would touch a glowing orb fifteen years before he actually did so during a trip to the Middle East.",false,entertainment ,,donald-trump the-simpsons trump-predictions ,https://www.snopes.com/fact-check/simpsons-predict-trump-orb/
